,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
0,-0.99998118,0.00613485,0.81315472,-0.58204759,-0.86108975,-0.50845299,0.28375517,-0.95889677,-0.10226476,-0.99475722,-0.12403473,-0.99227788,0.1298438,-0.99153446,-0.99954118,-0.03028913,0.48293704,-0.87565508,-0.54304278,-0.83970503,0.56368313,-0.82599112,-0.59923271,-0.8005749
1,-0.99992565,0.01219422,0.83979767,-0.5428995,-0.89442719,-0.4472136,0.60438648,-0.79669127,-0.48720315,-0.87328866,-0.12403473,-0.99227788,0.12548248,-0.99209584,-0.99955916,-0.02968988,0.4807016,-0.87688424,-0.53589375,-0.84428543,0.55596985,-0.83120246,-0.58672917,-0.80978323
2,-0.99970269,0.02438299,0.88548809,-0.46466207,-0.91827128,-0.39595184,0.77272625,-0.63473942,-0.776114,-0.63059263,-0.1284809,-0.99171198,0.12499619,-0.99215722,-0.9995503,-0.02998651,0.48474794,-0.87465389,-0.53361413,-0.84572806,0.5547002,-0.83205029,-0.58031522,-0.81439195
3,-0.99953557,0.03047365,0.93528626,-0.3538921,-0.95695841,-0.29022509,0.91239954,-0.40930073,-0.95270981,-0.30388158,-0.1284809,-0.99171198,0.12021556,-0.99274781,-0.99921668,-0.03957294,0.48876339,-0.87241638,-0.53227536,-0.84657129,0.54841921,-0.83620355,-0.57706714,-0.81669671
4,-0.99970628,0.0242353,0.96376406,-0.26675612,-0.97964321,-0.20074656,0.94781812,-0.31881155,-0.98703685,-0.1604938,-0.12797134,-0.99177787,0.12021556,-0.99274781,-0.99923195,-0.03918557,0.48876339,-0.87241638,-0.52862756,-0.84885387,0.54841921,-0.83620355,-0.57379144,-0.81900146
5,-0.99970628,0.0242353,0.98684992,-0.16163921,-0.99918803,-0.04028984,0.98616903,-0.16574269,-0.99846035,-0.05547002,-0.13086483,-0.99140022,0.11550086,-0.99330738,-0.99923195,-0.03918557,0.48876339,-0.87241638,-0.52495024,-0.85113292,0.54593797,-0.8378256,-0.57476924,-0.81831554
6,-0.99954118,0.03028913,0.99785695,-0.06543324,-0.99388373,0.11043153,0.999969,-0.00787377,-0.99949648,0.03173005,-0.13370913,-0.99102062,0.11043153,-0.99388373,-0.99923195,-0.03918557,0.48653105,-0.87366329,-0.52495024,-0.85113292,0.54841921,-0.83620355,-0.57149375,-0.82060642
7,-0.99954669,0.03010683,0.99892009,-0.0464614,-0.98916193,0.14682872,0.99764832,0.06854072,-0.9974587,0.07124705,-0.13703485,-0.99056623,0.10626511,-0.99433783,-0.99924678,-0.0388057,0.49050897,-0.87143614,-0.52124329,-0.85340813,0.54460544,-0.83869238,-0.57149375,-0.82060642
8,-0.99954669,0.03010683,0.0,0.0,-0.98278843,0.18473467,0.99304982,0.11769479,-0.99576668,0.09191692,-0.13703485,-0.99056623,0.10626511,-0.99433783,-0.99924678,-0.0388057,0.49050897,-0.87143614,-0.51897813,-0.85478752,0.54212687,-0.84029665,-0.57379144,-0.81900146
9,-0.99936285,0.03569153,0.99952696,0.03075468,-0.98058068,0.19611614,0.99511212,0.09875158,-0.99425114,0.1070732,-0.14087349,-0.99002761,0.10960187,-0.99397557,-0.99924678,-0.0388057,0.49445646,-0.8692024,-0.51449576,-0.85749293,0.53828202,-0.84276478,-0.57842878,-0.81573289
